official_pinyin,official_Chinese,official_translation,Institution 1,Institution 2,Institution 3
shang lin yuan jian jia shu shu dian shu,上林苑監嘉蔬署典署,,中央輔佐官署類,寺監門,上林苑監
shang lin yuan jian jia shu shu shu cheng,上林苑監嘉蔬署署丞,,中央輔佐官署類,寺監門,上林苑監
shang lin yuan jian liang mu shu shu cheng,上林苑監良牧署署丞,,中央輔佐官署類,寺監門,上林苑監
shang lin yuan jian liang mu shu dian shu,上林苑監良牧署典署,,中央輔佐官署類,寺監門,上林苑監
shang lin yuan jian lin heng shu dian shu,上林苑監林衡署典署,,中央輔佐官署類,寺監門,上林苑監
shang lin yuan jian lin heng shu shu cheng,上林苑監林衡署署丞,,中央輔佐官署類,寺監門,上林苑監
shang lin yuan jian you jian cheng,上林苑監右監丞,,中央輔佐官署類,寺監門,上林苑監
shang lin yuan jian you jian fu,上林苑監右監副,,中央輔佐官署類,寺監門,上林苑監
shang lin yuan jian you jian zheng ,上林苑監右監正,,中央輔佐官署類,寺監門,上林苑監
shang lin yuan jian zuo jian cheng,上林苑監左監丞,,中央輔佐官署類,寺監門,上林苑監
shang lin yuan jian zuo jian fu,上林苑監左監副,,中央輔佐官署類,寺監門,上林苑監
shang lin yuan jian zuo jian zheng,上林苑監左監正,,中央輔佐官署類,寺監門,上林苑監
tai yi yuan hui min yao ju da shi,太醫院惠民藥局大使,,中央輔佐官署類,寺監門,太醫院
tai yi yuan hui min yao ju fu shi,太醫院惠民藥局副使,,中央輔佐官署類,寺監門,太醫院
tai yi yuan li mu,太醫院吏目,,中央輔佐官署類,寺監門,太醫院
tai yi yuan sheng yao ku da shi,太醫院生藥庫大使,,中央輔佐官署類,寺監門,太醫院
tai yi yuan yu yi,太醫院御醫,Imperial Physician in the Imperial Academy of Medicine,中央輔佐官署類,寺監門,太醫院
tai yi yuan yuan pan,太醫院院判,Administrative Assistant in the Imperial Academy of Medicine,中央輔佐官署類,寺監門,太醫院
tai yi yuan yuan shi,太醫院院使,,中央輔佐官署類,寺監門,太醫院
seng lu si you chan jiao,僧錄司右闡教,,中央輔佐官署類,僧道官門,僧錄司
seng lu si you jiang jing,僧錄司右講經,,中央輔佐官署類,僧道官門,僧錄司
seng lu si you jue yi,僧錄司右覺義,,中央輔佐官署類,僧道官門,僧錄司
seng lu si you shan shi,僧錄司右善世,,中央輔佐官署類,僧道官門,僧錄司
seng lu si zuo chan jiao,僧錄司左闡教,,中央輔佐官署類,僧道官門,僧錄司
seng lu si zuo jiang jing,僧錄司左講經,,中央輔佐官署類,僧道官門,僧錄司
seng lu si zuo jue yi ,僧錄司左覺義,,中央輔佐官署類,僧道官門,僧錄司
seng lu si zuo shan shi ,僧錄司左善世,,中央輔佐官署類,僧道官門,僧錄司
you jue yi,右覺義,Buddhist Rectifier of the Right,中央輔佐官署類,僧道官門,僧錄司
zuo jue yi,左覺義,Buddhist Rectifier of the Left,中央輔佐官署類,僧道官門,僧錄司
zuo shan shi,左善世,Left Buddhist Patriarch,中央輔佐官署類,僧道官門,僧錄司
dao lu si fa guan,道錄司法官,,中央輔佐官署類,僧道官門,道錄司
dao lu si ge zao shan ling guan,道錄司閣皁山靈官,,中央輔佐官署類,僧道官門,道錄司
dao lu si long hu shan zheng yi zhen ren,道錄司龍虎山正一真人,,中央輔佐官署類,僧道官門,道錄司
dao lu si san mao shan ling guan,道錄司三茅山靈官,,中央輔佐官署類,僧道官門,道錄司
dao lu si shen le guan ti dian,道錄司神樂觀提點,,中央輔佐官署類,僧道官門,道錄司
dao lu si shen le guan zhi guan,道錄司神樂觀知觀,,中央輔佐官署類,僧道官門,道錄司
dao lu si tai he shan ti dian,道錄司太和山提點,,中央輔佐官署類,僧道官門,道錄司
dao lu si you xuan yi,道錄司右玄義,,中央輔佐官署類,僧道官門,道錄司
dao lu si you yan fa,道錄司右演法,,中央輔佐官署類,僧道官門,道錄司
dao lu si you zheng,道錄司右正,,中央輔佐官署類,僧道官門,道錄司
dao lu si you zhi ling,道錄司右至靈,,中央輔佐官署類,僧道官門,道錄司
dao lu si zan jiao,道錄司贊教,,中央輔佐官署類,僧道官門,道錄司
dao lu si zhang shu,道錄司掌書,,中央輔佐官署類,僧道官門,道錄司
dao lu si zuo xuan yi,道錄司左玄義,,中央輔佐官署類,僧道官門,道錄司
dao lu si zuo yan fa,道錄司左演法,,中央輔佐官署類,僧道官門,道錄司
dao lu si zuo zheng,道錄司左正,,中央輔佐官署類,僧道官門,道錄司
dao lu si zuo zhi ling,道錄司左至靈,,中央輔佐官署類,僧道官門,道錄司
ting shi du juan guan,廷試讀卷官,Test Grader for Palace Examination,中央輔佐官署類,考官門,殿試官
ting shi jin shi zhang juan guan,廷試進士掌卷官,Examination-holding Officer for the Palace Examination,中央輔佐官署類,考官門,殿試官
dian shi du juan guan,殿試讀卷官,Test Grader for Palace Examination,中央輔佐官署類,考官門,殿試官
dian shi mi feng guan,殿試彌封官,Examination Sealer for Palace Examination,中央輔佐官署類,考官門,殿試官
dian shi shou juan guan,殿試受卷官,Examination Retreiver for Palace Examination,中央輔佐官署類,考官門,殿試官
dian shi zhang juan guan,殿試掌卷官,Examination-holding Officer for Palace Examination,中央輔佐官署類,考官門,殿試官
du juan guan,讀卷官,Palace Examination Grader,中央輔佐官署類,考官門,殿試官
hui shi fu kao guan,會試副考官,Vice Examining Official of the Metropolitan Examination,中央輔佐官署類,考官門,會試官
hui shi jian kao guan,會試監考官,Examination Supervisor of the Metropolitan Examination,中央輔佐官署類,考官門,會試官
hui shi jian lin guan,會試監臨官,Examiner Official of the Metropolitan Examination,中央輔佐官署類,考官門,會試官
hui shi kao shi guan,會試考試官,Examination Official of the Metropolitan Examination,中央輔佐官署類,考官門,會試官
hui shi ti diao guan,會試提調官,Supervisor of the Metropolitan Examination,中央輔佐官署類,考官門,會試官
hui shi tong kao shi guan,會試同考試官,Associate Examination Official of the Metropolitan Examination,中央輔佐官署類,考官門,會試官
hui shi zhi gong ju guan,會試知貢舉官,Examination Administrator Official of the Metropolitan Examination,中央輔佐官署類,考官門,會試官
hui shi zhu kao guan,會試主考官,Chief Examining Official of the Metropolitan Examination,中央輔佐官署類,考官門,會試官
tong kao guan,同考官,Associate Examining Official,中央輔佐官署類,考官門,會試官
tong kao shi guan,同考試官,Associate Examining Official,中央輔佐官署類,考官門,會試官
zhi gong ju guan,知貢舉官,Examination Administrator Official,中央輔佐官署類,考官門,會試官
jian lin guan,監臨官,Examiner Official,中央輔佐官署類,考官門,鄉試官
shun tian tong kao,順天同考官,,中央輔佐官署類,考官門,鄉試官
xiang shi fu kao guan,鄉試副考官,Vice Examining Official of a Provincial Examination,中央輔佐官署類,考官門,鄉試官
xiang shi guan,鄉試官,Provincial Examination Official,中央輔佐官署類,考官門,鄉試官
xiang shi kao shi guan,鄉試考試官,Examining Official of a Provincial Examination,中央輔佐官署類,考官門,鄉試官
xiang shi tong kao guan,鄉試同考官,Associate Examining Official of a Provincial Examination,中央輔佐官署類,考官門,鄉試官
xiang shi zheng kao guan,鄉試正考官,Principal Examining Official of a Provincial Examination,中央輔佐官署類,考官門,鄉試官
xiang shi zhu kao guan,鄉試主考官,Chief Examining Official of a Provincial Examination,中央輔佐官署類,考官門,鄉試官
jing ji zhu kao guan,京畿主考官,Chief Examining Official of the Metropolitan Region,中央輔佐官署類,考官門,鄉試官
zhu shi shun tian,主試順天,Chief Examining Official of the Shuntian Prefecture,中央輔佐官署類,考官門,鄉試官
zhu shi ying tian,主試應天,Chief Examining Official of the Yingtian Prefecture,中央輔佐官署類,考官門,鄉試官
wu hui shi tong kao guan,武會試同考官,Associate Examinig Official of the Military Metropolitan Examination,中央輔佐官署類,考官門,武舉官
wu hui shi zhu kao guan,武會試主考官,Chief Examining Official of the Military Metropolitan Examination,中央輔佐官署類,考官門,武舉官
wu ju fu shi guan,武舉覆試官,Confirmation Test Official for Military Selection,中央輔佐官署類,考官門,武舉官
wu ju jian shi guan,武舉監試官,Examination Overseer for Military Selection,中央輔佐官署類,考官門,武舉官
wu ju kao shi guan,武舉考試官,Examining Official for Military Selection,中央輔佐官署類,考官門,武舉官
wu ju zhu kao guan,武舉主考官,Chief Examining Official for Military Selection,中央輔佐官署類,考官門,武舉官
kao guan,考官,Examining Official,中央輔佐官署類,考官門,考試官
kao shi guan,考試官,Examining Official,中央輔佐官署類,考官門,考試官
fen kao guan,分考官,,中央輔佐官署類,考官門,考試官
zheng kao guan,正考官,Principal Examining Official,中央輔佐官署類,考官門,考試官
zhu kao guan,主考官,Chief Examining Official,中央輔佐官署類,考官門,考試官
dian zhong shi yu shi,殿中侍御史,Palace Censor,司法監察機構類,御史臺門,
shi yu shi,侍御史,Attendant Censor,司法監察機構類,御史臺門,
you yu shi da fu,右御史大夫,Right Censor-in-chief,司法監察機構類,御史臺門,
yu shi da fu,御史大夫,Censor-in-chief,司法監察機構類,御史臺門,
yu shi tai cha yuan jian cha yu shi,御史臺察院監察御史,,司法監察機構類,御史臺門,
yu shi tai dian zhong shi yu shi,御史臺殿中侍御史,,司法監察機構類,御史臺門,
yu shi tai du shi,御史臺都事,,司法監察機構類,御史臺門,
yu shi tai guan gou,御史臺管勾,,司法監察機構類,御史臺門,
yu shi tai jing li,御史臺經歷,,司法監察機構類,御史臺門,
yu shi tai you yu shi da fu,御史臺右御史大夫,,司法監察機構類,御史臺門,
yu shi tai yu shi zhong cheng,御史臺御史中丞,,司法監察機構類,御史臺門,
yu shi tai zhao mo,御史臺照磨,,司法監察機構類,御史臺門,
yu shi tai zuo yu shi da fu,御史臺左御史大夫,,司法監察機構類,御史臺門,
yu shi zhong cheng,御史中丞,Vice Censor-in-chief,司法監察機構類,御史臺門,
zuo yu shi da fu,左御史大夫,Left Censor-in-chief,司法監察機構類,御史臺門,
zuo yu shi zhong cheng,左御史中丞,Left Vice Censor-in-chief,司法監察機構類,御史臺門,
dou cha yuan guan zheng,都察院觀政,,司法監察機構類,都察院門 ,
du cha yuan jing li,都察院經歷,Registrar in the Censorate,司法監察機構類,都察院門 ,
fu du yu shi,副都御史,Vice Censor-in-chief,司法監察機構類,都察院門 ,
you du fu yu shi,右都副御史,Right Vice Censor-in-chief,司法監察機構類,都察院門 ,
you du yu shi,右都御史,Right Censor-in-chief,司法監察機構類,都察院門 ,
you fu du yu shi,右副都御史,Right Vice Censor-in-chief,司法監察機構類,都察院門 ,
you qian du yu shi,右僉都御史,Right Censor-in-chief,司法監察機構類,都察院門 ,
zuo du yu shi,左都御史,Left Censor-in-chief,司法監察機構類,都察院門 ,
zuo fu du yu shi,左副都御史,Left Vice Censor-in-chief,司法監察機構類,都察院門 ,
zuo qian du yu shi,左僉都御史,Left Assistant Censor-in-chief,司法監察機構類,都察院門 ,
cao yun du gang,漕運都綱,,司法監察機構類,都察院門 ,京畿都漕運司
cao yun shu guan jian li,漕運屬官監運,,司法監察機構類,都察院門 ,京畿都漕運司
cao yun ti kong an du,漕運提控案牘,,司法監察機構類,都察院門 ,京畿都漕運司
cao yun zhi shi,漕運知事,,司法監察機構類,都察院門 ,京畿都漕運司
cao yun zong bing guan,漕運總兵官,Grain Transport Commander,司法監察機構類,都察院門 ,京畿都漕運司
jing ji du cao yun shi,京畿都漕運使,Transport Commissioner of the Metropolitan Region,司法監察機構類,都察院門,京畿都漕運司
xie tong cao yun can jiang,恊同漕運參將,Associate Regional Assistant Commander for Grain Transport,司法監察機構類,都察院門,京畿都漕運司
dao jian cha yu shi,道監察御史,Investigating Censor of a Circuit,司法監察機構類,都察院門 ,御史
dao yu shi,道御史,Censor of a Circuit,司法監察機構類,都察院門 ,御史
du cha yuan li xing xing ren,都察院理刑行人,Messenger of Judicial Bureau of the Censorate,司法監察機構類,都察院門 ,御史
du cha yuan qian du yu shi,都察院僉都御史,Assistant Censor-in-chief of the Censorate,司法監察機構類,都察院門 ,御史
du cha yuan you du yu shi,都察院右都御史,Right Censor-in-chief of the Censorate,司法監察機構類,都察院門 ,御史
du cha yuan you fu du yu shi,都察院右副都御史,Right Vice Censor-in-chief of the Censorate,司法監察機構類,都察院門 ,御史
du cha yuan you fu du yu shi xun fu jiang xi,都察院右副都御史廵撫江西,Grand Coordinator of Jiangxi--Right Vice Censor-in-chief,司法監察機構類,都察院門 ,御史
du cha yuan you fu yu shi,都察院右副御史,Right Vice Censor of the Censorate,司法監察機構類,都察院門 ,御史
du cha yuan you qian du yu shi,都察院右僉都御史,Right Assistant Censor-in-chief of the Censorate,司法監察機構類,都察院門 ,御史
du cha yuan zuo du yu shi,都察院左都御史,Left Censor-in-chief of the Censorate,司法監察機構類,都察院門 ,御史
du cha yuan zuo fu du yu shi,都察院左副都御史,Left Vice Censor-in-chief of the Censorate,司法監察機構類,都察院門 ,御史
du cha yuan zuo qian du yu shi,都察院左僉都御史,Left Assistant Censor-in-chief of the Censorate,司法監察機構類,都察院門 ,御史
du yu shi,都御史,Censor-in-chief,司法監察機構類,都察院門 ,御史
fu jian jian cha yu shi,福建道監察御史,,司法監察機構類,都察院門 ,御史
gui zhou jian cha yu shi,貴州道監察御史,,司法監察機構類,都察院門 ,御史
hu guang jian cha yu shi,湖廣道監察御史,,司法監察機構類,都察院門 ,御史
jian cha yu shi,監察御史,Investigating Censor,司法監察機構類,都察院門 ,御史
kan chu hu guang gui zhou yi qing you fu du yu shi,湖廣貴州夷情右副都御史,Right Vice Censor-in-chief in Charge of the Native,司法監察機構類,都察院門 ,御史
qing li jun wu jian cha yu shi,清理軍伍監察御史,Investigating Censor for Troop Purification,司法監察機構類,都察院門 ,御史
shan xi jian cha yu shi,陝西道監察御史,,司法監察機構類,都察院門 ,御史
xing zai du cha yuan you du yu shi,行在都察院右都御史,Auxiliary Right Censor-in-chief of the Censorate,司法監察機構類,都察院門 ,御史
xing zai du cha yuan you fu du yu shi,行在都察院右副都御史,Auxiliary Right Vice Censor-in-chief of the Censorate,司法監察機構類,都察院門 ,御史
xing zai du cha yuan you qian du yu shi,行在都察院右僉都御史,Auxiliary Right Assistant Censor-in-chief of the Consorate,司法監察機構類,都察院門 ,御史
xing zai du cha yuan zhang yuan shi,行在都察院掌院事,Auxiliary Assistant Administrator in Charge of the Censorate,司法監察機構類,都察院門 ,御史
xing zai du cha yuan zuo fu du yu shi,行在都察院左副都御史,Auxiliary Left Vice Censor-in-chief of the Censorate,司法監察機構類,都察院門 ,御史
xing zai du cha yuan zuo qian du yu shi,行在都察院左僉都御史,Auxiliary Left Assistant Censor-in-chief of the Censorate,司法監察機構類,都察院門 ,御史
xing zai jian cha yu shi,行在監察御史,Auxiliary Investigating Censor,司法監察機構類,都察院門 ,御史
xing zai si chuan dao jian cha yu shi,行在四川道監察御史,Auxiliary Investigating Censor of the Sichuan Circuit,司法監察機構類,都察院門 ,御史
yun nan jian cha yu shi,雲南道監察御史,,司法監察機構類,都察院門 ,御史
fu zhen shan xi yu shi,撫賑陜西御史,Relief Censor of Shanxi,司法監察機構類,都察院門,御史
guang dong dao jian cha yu shi,廣東道監察御史,,司法監察機構類,都察院門,御史
guang xi dao jian cha yu shi,廣西道監察御史,,司法監察機構類,都察院門,御史
he nan dao jian cha yu shi,河南道監察御史,,司法監察機構類,都察院門,御史
jiang nan xun an yu shi,江南巡按御史,Regional Inspector for the South of Yangtze,司法監察機構類,都察院門,御史
jiang xi dao jian cha yu shi,江西道監察御史,,司法監察機構類,都察院門,御史
liang huai xun yan,兩淮巡鹽,,司法監察機構類,都察院門,御史
shan dong dao jian cha yu shi,山東道監察御史,,司法監察機構類,都察院門,御史
shan xi dao jian cha yu shi,山西道監察御史,,司法監察機構類,都察院門,御史
si chuan dao jian cha yu shi,四川道監察御史,,司法監察機構類,都察院門,御史
xun an,巡按,Regional Inspector,司法監察機構類,都察院門,御史
xun an fu shi,巡按副使,Vice Regional Inspector Commissioner,司法監察機構類,都察院門,御史
xun an jian cha yu shi,巡按監察御史,Regional Investigating Censor,司法監察機構類,都察院門,御史
xun an yu shi,巡按御史,Regional Inspector,司法監察機構類,都察院門,御史
xun guan yu shi,巡關御史,Customs-house-inspecting Censor,司法監察機構類,都察院門,御史
xun yan yu shi,巡鹽御史,Salt-control Censor,司法監察機構類,都察院門,御史
yu shi,御史,Censor,司法監察機構類,都察院門,御史
zhe jiang dao jian cha yu shi,浙江道監察御史,,司法監察機構類,都察院門,御史
zhi shu shi yu shi,治書侍御史,Secretarial Censor,司法監察機構類,都察院門,御史
da zong du,(宣)大總督,Grand Supreme Commander,司法監察機構類,都察院門 ,總督巡撫官
jing lüe,經略 ,,司法監察機構類,都察院門 ,總督巡撫官
zan li song pan di fang jun wu,贊理松潘地方軍務,,司法監察機構類,都察院門 ,總督巡撫官
zong du,總督,Supreme Commander,司法監察機構類,都察院門 ,總督巡撫官
zong du bao ding di fang jun wu,總督保定地方軍務,,司法監察機構類,都察院門 ,總督巡撫官
zong du can zan guan,總督參贊官,Consultant to a Supreme Commander,司法監察機構類,都察院門 ,總督巡撫官
zong du cao yun,總督漕運,Director-general of Grain Transport,司法監察機構類,都察院門 ,總督巡撫官
zong du cao yun du yu shi,總督漕運都御史,Censor-in-chief Director-general of Grain Transport,司法監察機構類,都察院門 ,總督巡撫官
zong du cao yun jian ti du jun wu xun fu feng yang deng chu,總督漕運兼提督軍務巡撫鳳陽等處,,司法監察機構類,都察院門 ,總督巡撫官
zong du cao yun jian ti du jun wu xun fu feng yang deng chu jian guan he dao,總督漕運兼提督軍務巡撫鳳陽等處兼管河道,,司法監察機構類,都察院門 ,總督巡撫官
zong du cao yun you fu du yu shi,總督漕運右副都御史,,司法監察機構類,都察院門 ,總督巡撫官
zong du cao yun zong bing guan,總督漕運總兵官,Regional Commander Director-general of Grain Transport,司法監察機構類,都察院門 ,總督巡撫官
zong du fengy ang di fang jian zhi he nan hu guang jun wu,"總督鳳陽地方兼制河南, 湖廣軍務",,司法監察機構類,都察院門 ,總督巡撫官
zong du he dao,總督河道,Director-general of the Grand Canal,司法監察機構類,都察院門 ,總督巡撫官
zong du he nan hu guang jun wu jian xun fu he nan,"總督河南, 湖廣軍務兼巡撫河南",,司法監察機構類,都察院門 ,總督巡撫官
zong du ji liao bao ding deng chu jun wu jian li liang xiang,"總督薊遼, 保定等處軍務兼理糧餉",,司法監察機構類,都察院門 ,總督巡撫官
zong du ji liao bao ding jun wu,總督薊遼保定軍務,,司法監察機構類,都察院門 ,總督巡撫官
zong du ji liao bao ding jun wu du yu shi,總督薊遼保定軍務都御史,Censor-in-chief Supreme Commander of the Military,司法監察機構類,都察院門 ,總督巡撫官
zong du jiu jiang di fang jian zhi jiang xi hu guang jun wu,"總督九江地方兼制江西, 湖廣軍務",,司法監察機構類,都察院門 ,總督巡撫官
zong du liang chu,總督粮儲,,司法監察機構類,都察院門 ,總督巡撫官
zong du liang guang jun wu,總督兩廣軍務,Supreme Commander of the Military Affairs of Guang,司法監察機構類,都察院門 ,總督巡撫官
zong du liang guang jun wu du yu shi,總督兩廣軍務都御史,Censor-in-chief Supreme Commander of the Military Affairs of Guang,司法監察機構類,都察院門 ,總督巡撫官
zong du liang guang jun wu jian li liang xiang dai guan yan fa jian xun fu guangdong di fang,總督兩廣軍務兼理糧餉帶管鹽法兼巡撫廣東地方,,司法監察機構類,都察院門 ,總督巡撫官
zong du liang xiang,總督糧餉,Director-general of Supplies,司法監察機構類,都察院門 ,總督巡撫官
zong du shan xi san bian jun wu,總督陝西三邊軍務,,司法監察機構類,都察院門 ,總督巡撫官
zong du shan xi shan xi he nan hu guang si chuan wu sheng jun wu,"總督陝西, 山西, 河南, 湖廣, 四川五省軍務",,司法監察機構類,都察院門 ,總督巡撫官
zong du si chuan shan xi he nan hu guang deng chu jun wu,"總督四川, 陝西, 河南, 湖廣等處軍務",,司法監察機構類,都察院門 ,總督巡撫官
zong du xuan da shan xi deng chu jun wu jian li liang xiang,"總督宣大, 山西等處軍務兼理糧餉",,司法監察機構類,都察院門 ,總督巡撫官
zong du zhe jiang fu jian jiang nan jian zhi jiang xi jun wu,"總督浙江, 福建, 江南兼制江西軍務",,司法監察機構類,都察院門 ,總督巡撫官
zong li,總理,Superintendent,司法監察機構類,都察院門 ,總督巡撫官
zong li he chao jian ti du jun wu,總理河漕兼提督軍務,,司法監察機構類,都察院門 ,總督巡撫官
zong li he dao,總理河道,Superintendent of the Grand Canal,司法監察機構類,都察院門 ,總督巡撫官
zong li he dao cao yun,總理河道漕運,,司法監察機構類,都察院門 ,總督巡撫官
zong li liang chu,總理糧儲,Superintendent of Supplies,司法監察機構類,都察院門 ,總督巡撫官
zong li liang chu ti du jun wu jian xun fu ying tian deng fu,總理糧儲提督軍務兼巡撫應天等府,,司法監察機構類,都察院門 ,總督巡撫官
zong li nan zhi li he nan shan dong hu guang si chuan jun wu,"總理南直隸, 河南, 山東, 湖廣, 四川軍務",,司法監察機構類,都察院門 ,總督巡撫官
cai fang shi,採訪使,Investigation Commissioner,司法監察機構類,都察院門,總督巡撫官
fu zhi,撫治,Pacification,司法監察機構類,都察院門,總督巡撫官
fu zhi you fu du yu shi,撫治右副都御史,Right Pacification Vice Censor-in-chief,司法監察機構類,都察院門,總督巡撫官
fu zhi yun yang deng chu di fang jian ti du jun wu,撫治鄖陽等處地方兼提督軍務,,司法監察機構類,都察院門,總督巡撫官
he dao zong du,河道總督,Director-general of the Grand Canal,司法監察機構類,都察院門,總督巡撫官
jian xun fu,兼巡撫,Concurrent Grand Coordinator or Provincial Governor,司法監察機構類,都察院門,總督巡撫官
jian zong du shan xi san bian jun wu,兼縂督陜西三邊軍務,Concurrent Director-general of the Military Affairs,司法監察機構類,都察院門,總督巡撫官
san bian zong du,三邊總督,Supreme Commander of Three Frontiers,司法監察機構類,都察院門,總督巡撫官
san bian zong zhi,三邊總制,Regulator-general of Three Frontiers,司法監察機構類,都察院門,總督巡撫官
ti du cao jiang du cha yuan you fu du yu shi,提督操江都察院右副都御史,,司法監察機構類,都察院門,總督巡撫官
ti du cao jiang du cha yuan zuo fu du yu shi,提督操江都察院左副都御史,,司法監察機構類,都察院門,總督巡撫官
wu sheng zong du,五省總督,Supreme Commander of Five Provinces,司法監察機構類,都察院門,總督巡撫官
xun fu,廵撫,Grand Coordinator,司法監察機構類,都察院門,總督巡撫官
xun fu an lu di fang zan li jun wu,巡撫安廬地方贊理軍務,,司法監察機構類,都察院門,總督巡撫官
xun fu bao ding deng fu ti du zi jing deng guan jian guan he dao,巡撫保定等府提督紫荊等關兼管河道,,司法監察機構類,都察院門,總督巡撫官
xun fu biao xia zhong jun you ji jiang jun,巡撫標下中軍遊擊將軍,Mobile Corps Commander Grand Coordinator of the Army,司法監察機構類,都察院門,總督巡撫官
xun fu cheng tian zan li jun wu,巡撫承天贊理軍務,,司法監察機構類,都察院門,總督巡撫官
xun fu da tong di fang zan li jun wu,巡撫大同地方贊理軍務,,司法監察機構類,都察院門,總督巡撫官
xun fu deng lai di fang zan li jun wu,巡撫登萊地方贊理軍務,,司法監察機構類,都察院門,總督巡撫官
xun fu du cha yuan you fu du yu shi,廵撫都察院右副都御史,Grand Coordinator and Right Vice Censor-in-chief of Cencorate,司法監察機構類,都察院門,總督巡撫官
xun fu du cha yuan you qian du yu shi,廵撫都察院右僉都御史,Grand Coordinator and Right Assistant Censor-in-chief of of Cencorate,司法監察機構類,都察院門,總督巡撫官
xun fu du yu shi,廵撫都御史,Grand Coordinator and Censor-in-chief,司法監察機構類,都察院門,總督巡撫官
xun fu fu jian di fang jian ti du jun wu,巡撫福建地方兼提督軍務,,司法監察機構類,都察院門,總督巡撫官
xun fu gan su deng chu zan li jun wu,巡撫甘肅等處贊理軍務,,司法監察機構類,都察院門,總督巡撫官
xun fu guang dong di fang jian zan li jun wu ,巡撫廣東地方兼贊理軍務,,司法監察機構類,都察院門,總督巡撫官
xun fu guang xi di fang,巡撫廣西地方,,司法監察機構類,都察院門,總督巡撫官
xun fu gui zhou jian du li hu bei chuan dong deng chu di fang ti du jun wu,巡撫貴州兼督理湖北、川東等處地方提督軍務,,司法監察機構類,都察院門,總督巡撫官
xun fu he nan deng chu di fang jian guan he dao ti du jun wu,巡撫河南等處地方兼管河道提督軍務,,司法監察機構類,都察院門,總督巡撫官
xun fu hu guang deng chu di fang jian zan li jun wu,巡撫湖廣等處地方兼贊理軍務,,司法監察機構類,都察院門,總督巡撫官
xun fu huai yang di fang zan li jun wu ,巡撫淮揚地方贊理軍務,,司法監察機構類,都察院門,總督巡撫官
xun fu jiang xi di fang jian li jun wu,巡撫江西地方兼理軍務,,司法監察機構類,都察院門,總督巡撫官
xun fu liao dong di fang zan li jun wu,巡撫遼東地方贊理軍務,,司法監察機構類,都察院門,總督巡撫官
xun fu mi yun di fang zan li jun wu,巡撫密雲地方贊理軍務,,司法監察機構類,都察院門,總督巡撫官
xun fu nan gan ting shao deng chu di fang ti du jun wu,巡撫南贛汀韶等處地方提督軍務,,司法監察機構類,都察院門,總督巡撫官
xun fu ning xia di fang zan li jun wu ,巡撫寧夏地方贊理軍務,,司法監察機構類,都察院門,總督巡撫官
xun fu pian yuan di fang zan li jun wu,巡撫偏沅地方贊理軍務,,司法監察機構類,都察院門,總督巡撫官
xun fu shan dong deng chu di fang du li ying tian jian guan he dao ti du jun wu,巡撫山東等處地方督理營田兼管河道提督軍務,,司法監察機構類,都察院門,總督巡撫官
xun fu shan xi di fang jian ti du yan men deng guan jun wu,巡撫山西地方兼提督雁門等關軍務,,司法監察機構類,都察院門,總督巡撫官
xun fu shan xi di fang zan li jun wu,巡撫陝西地方贊理軍務,,司法監察機構類,都察院門,總督巡撫官
xun fu shun tian deng fu di fang jian zheng chi ji zhou deng chu bian bei,巡撫順天等府地方兼整飭薊州等處邊備,,司法監察機構類,都察院門,總督巡撫官
xun fu si chuan,廵撫四川,Grand Coordinator of Sichuan,司法監察機構類,都察院門,總督巡撫官
xun fu si chuan deng chu di fang jian ti du jun wu,巡撫四川等處地方兼提督軍務,,司法監察機構類,都察院門,總督巡撫官
xun fu tian jin di fang zan li jun wu,巡撫天津地方贊理軍務,,司法監察機構類,都察院門,總督巡撫官
xun fu wei shi guan,巡撫為事官,Grand Coordinator,司法監察機構類,都察院門,總督巡撫官
xun fu xuan fu di fang zan li jun wu,巡撫宣府地方贊理軍務,,司法監察機構類,都察院門,總督巡撫官
xun fu yan sui deng chu zan li jun wu,巡撫延綏等處贊理軍務,,司法監察機構類,都察院門,總督巡撫官
xun fu you du yu shi,巡撫右都御史,,司法監察機構類,都察院門,總督巡撫官
xun fu you fu du yu shi,廵撫右副都御史,Grand Coordinator and Right Vice Censor-in-chief,司法監察機構類,都察院門,總督巡撫官
xun fu you qian du yu shi,巡撫右僉都御史,Grand Coordinator and Right Assistant Censor-in-chief,司法監察機構類,都察院門,總督巡撫官
xun fu yun nan jian jian chang bi jie deng chu di fang zan li jun wu jian du chuan dui liang xiang,"巡撫雲南兼建昌, 畢節等處地方贊理軍務兼督川、貴糧餉",,司法監察機構類,都察院門,總督巡撫官
xun fu zan li jun wu du yu shi,廵撫贊理軍務都御史,"Grand Coordinator, Associate Military Superintende",司法監察機構類,都察院門,總督巡撫官
xun fu zhe jiang deng chu di fang jian ti du jun wu,巡撫浙江等處地方兼提督軍務,,司法監察機構類,都察院門,總督巡撫官
xun fu zuo fu du yu shi,巡撫左副都御史,Grand Coordinator and Left Vice Censor-in-chief,司法監察機構類,都察院門,總督巡撫官
xun fu zuo qian du yu shi,廵撫左僉都御史,Grand Coordinator and Left Assistant Censor-in-chief,司法監察機構類,都察院門,總督巡撫官
xun shi,巡視,,司法監察機構類,都察院門,總督巡撫官
da li si zuo ping shi,大理寺左評事,Left Case Reviewer of the Court of Judicial Review,司法監察機構類,大理寺門,左寺
