official_pinyin,official_Chinese,official_translation,Institution 1,Institution 2,Institution 3
si jing ju zheng zi,司經局正字,Proofreader in the Editorial Service in the Household of the Heir Apparent,皇族宮廷類,皇太子與東宮門,詹事府
tong zhi zhan shi yuan shi,同知詹事院事,Associate Administrator of the Affairs of the Household Administration of the Heir Apparent,皇族宮廷類,皇太子與東宮門,詹事府
you chun fang da xue shi,右春坊大學士,Grand Secretary of the Right Secretariat of the Heir Apparent,皇族宮廷類,皇太子與東宮門,詹事府
you chun fang qing ji lang,右春坊清紀郎,,皇族宮廷類,皇太子與東宮門,詹事府
you chun fang you qing ji lang,右春坊右清紀郎,Recorder of Misdeeds of the Right Secretariat of the Heir Apparent,皇族宮廷類,皇太子與東宮門,詹事府
you chun fang you shu zi,右春坊右庶子,Right Mentor of the Right Secretariat of the Heir Apparent,皇族宮廷類,皇太子與東宮門,詹事府
you chun fang you si jian,右春坊右司諫,Right Remonstrator of the Right Secretariat of the Heir Apparent,皇族宮廷類,皇太子與東宮門,詹事府
you chun fang you si zhi lang,右春坊右司直郎,Right Rectifier in the Right Secretariat of the Heir Apparent,皇族宮廷類,皇太子與東宮門,詹事府
you chun fang you yu de,右春坊右諭德,Right Advisor in the Right Secretariat of the Heir Apparent,皇族宮廷類,皇太子與東宮門,詹事府
you chun fang you zan shan,右春坊右贊善,Right Admonisher in the Right Secretariat of the Heir Apparent,皇族宮廷類,皇太子與東宮門,詹事府
you chun fang you zhong yun,右春坊右中允,Right Companion for the Heir Apparent in the Right Secretariat of the Heir Apparent,皇族宮廷類,皇太子與東宮門,詹事府
you chun fang zhong yun,右春坊中允,Companion for the Heir Apparent in the Right Secretariat of the Heir Apparent,皇族宮廷類,皇太子與東宮門,詹事府
you yu de,右諭德,Right Advisor in the Establishment of the Heir Apparent,皇族宮廷類,皇太子與東宮門,詹事府
you zan shan,右贊善,Right Admonisher,皇族宮廷類,皇太子與東宮門,詹事府
you zhong yun,右中允,Right Companion for the Heir Apparent,皇族宮廷類,皇太子與東宮門,詹事府
zuo chun fang da xue shi,左春坊大學士,Grand Secretary of the Left Secretariat of the Heir Apparent,皇族宮廷類,皇太子與東宮門,詹事府
zuo chun fang qing ji lang shi shu ,左春坊清紀郎待書,,皇族宮廷類,皇太子與東宮門,詹事府
zuo chun fang si zhi lang,左春坊司直郎,Rectifier in the Left Secretariat of the Heir Apparent,皇族宮廷類,皇太子與東宮門,詹事府
zuo chun fang yu de,左春坊諭德,Advisor in the Left Secretariat of the Heir Apparent,皇族宮廷類,皇太子與東宮門,詹事府
zuo chun fang zuo qing ji lang,左春坊左清紀郎,,皇族宮廷類,皇太子與東宮門,詹事府
zuo chun fang zuo shu zi,左春坊左庶子,Left Mentor of the Left Secretariat of the Heir Apparent,皇族宮廷類,皇太子與東宮門,詹事府
zuo chun fang zuo si jian,左春坊左司諫,,皇族宮廷類,皇太子與東宮門,詹事府
zuo chun fang zuo si zhi lang,左春坊左司直郎,Left Rectifier in the Left Secretariat of the Heir Apparent,皇族宮廷類,皇太子與東宮門,詹事府
zuo chun fang zuo yu de,左春坊左諭德,Left Advisor in the Left Secretariat of the Heir Apparent,皇族宮廷類,皇太子與東宮門,詹事府
zuo chun fang zuo zan shan,左春坊左贊善,Left Admonisher in the Left Secretariat of the Heir Apparent,皇族宮廷類,皇太子與東宮門,詹事府
zuo chun fang zuo zhong yun,左春坊左中允,Left Companion for the Heir Apparent in the Left Secretariat of the Heir Apparent,皇族宮廷類,皇太子與東宮門,詹事府
zuo shu zi,左庶子,Left Mentor,皇族宮廷類,皇太子與東宮門,詹事府
zuo si zhi lang,左司直郎,,皇族宮廷類,皇太子與東宮門,詹事府
zuo yu de,左諭德,Left Advisor in the Establishment of the Heir Apparent,皇族宮廷類,皇太子與東宮門,詹事府
huang tai sun,皇太孫,Imperial Grandson-heir,皇族宮廷類,皇太子與東宮門,
huang tai sun ban du,皇太孫伴讀,Reader-companion of the Imperial Grandson-heir,皇族宮廷類,皇太子與東宮門,
huang tai sun fei,皇太孫妃,Consort of the Imperial Grandson-heir,皇族宮廷類,皇太子與東宮門,
huang tai sun pin,皇太孫嬪,Concubine of the Imperial Grandson-heir,皇族宮廷類,皇太子與東宮門,
huang tai sun pin,皇太孫嬪,Concubine of the Imperial Grandson-heir,皇族宮廷類,皇太子與東宮門,
huang tai zi,皇太子,Heir Apparent,皇族宮廷類,皇太子與東宮門,
huang tai zi fei,皇太子妃,Consort of the Heir Apparent,皇族宮廷類,皇太子與東宮門,
huang tai zi pin,皇太子嬪,Concubine of the Heir Apparent,皇族宮廷類,皇太子與東宮門,
huang zhang zi jiang guan,皇長子講官,Lecturer for the Eldest Son of the Emperor,皇族宮廷類,皇太子與東宮門,
zan du,贊讀,Reading Assistant,皇族宮廷類,皇太子與東宮門,
wen hua dian shi wei,文華殿侍衛,Imperial Guard of the Hall of Literary Brilliance,皇族宮廷類,禁衛門,
xun wei dai dao shi cong,勲衛帶刀侍從,Attendant with Sword,皇族宮廷類,禁衛門,
xun wei dai dao shi wei,勳衛帶刀侍衛,Imperial Guard with Sword,皇族宮廷類,禁衛門,
gong zhu fu jia ling,公主府家令,,皇族宮廷類,宗室門,公主府
gong zhu fu lu shi,公主府錄事,,皇族宮廷類,宗室門,公主府
gong zhu fu si cheng,公主府司丞,,皇族宮廷類,宗室門,公主府
zong ren fu jing li,宗人府經歷,Registrar in the Court of the Imperial Clan,皇族宮廷類,宗室門,宗人府
zong ren fu you zong ren,宗人府右宗人,Right Assistant Director of the Court of the Imperial Clan,皇族宮廷類,宗室門,宗人府
zong ren fu you zong zheng,宗人府右宗正,Right Associate Director of the Court of the Imperial Clan,皇族宮廷類,宗室門,宗人府
zong ren fu zong ren ling,宗人府宗人令,Director of the Court of the Imperial Clan,皇族宮廷類,宗室門,宗人府
