official_pinyin,official_Chinese,official_translation,Institution 1,Institution 2,Institution 3
yuan ma si si cheng,苑馬寺寺丞,,牧盐舶政類,馬政門,苑馬寺
yuan ma si zhu bu,苑馬寺主簿,Recorder of the Pasturage Office,牧盐舶政類,馬政門,苑馬寺
yuan ma si jian zheng,苑馬寺監正,Supervisor of the Directorate of Horse Pasturages,牧盐舶政類,馬政門,苑馬寺
yuan ma si jian fu,苑馬寺監副,Vice Supervisor of the Directorates of Horse Pasturages,牧盐舶政類,馬政門,苑馬寺
yuan ma si lu shi,苑馬寺錄事,Office Manager of the Directorates of Horse Pasturages,牧盐舶政類,馬政門,苑馬寺
yuan ma si yu zhang,苑馬寺圉長,,牧盐舶政類,馬政門,苑馬寺
xing tai pu si cheng,行太僕寺丞,Acting Assistant Minister of the Court of the Imperial Stud,牧盐舶政類,馬政門,行太僕寺
xing tai pu si qing,行太僕寺卿,Acting Chief Minister of the Court of the Imperial Stud,牧盐舶政類,馬政門,行太僕寺
xing tai pu si shao qing,行太僕寺少卿,Acting Vice Minister of the Court of the Imperial Stud,牧盐舶政類,馬政門,行太僕寺
xing tai pu si zhu bu,行太僕寺主簿,Acting Recorder of the Court of the Imperial Stud,牧盐舶政類,馬政門,行太僕寺
du zhuan yun shi si tong zhi,都轉運使司同知,Associate Administrator of a Salt Distribution Commission,牧盐舶政類,鹽課鹽運門,都轉運鹽使司
du zhuan yun yan shi,都轉運鹽使,Salt Distribution Commissioner,牧盐舶政類,鹽課鹽運門,都轉運鹽使司
du zhuan yun yan shi si du zhuan yun shi,都轉運鹽使司都轉運使,Salt Distribution Commissioner in Charge of Salt T,牧盐舶政類,鹽課鹽運門,都轉運鹽使司
du zhuan yun yan shi si fu shi,都轉運鹽使司副使,Vice Salt Distribution Commissioner,牧盐舶政類,鹽課鹽運門,都轉運鹽使司
du zhuan yun yan shi si yun shi,都轉運鹽使司運使,Salt Distribution Commissioner in Charge of Salt T,牧盐舶政類,鹽課鹽運門,都轉運鹽使司
yan yun fu shi,鹽運副使,Vice Salt Distribution Commissioner,牧盐舶政類,鹽課鹽運門,都轉運鹽使司
yan yun shi,鹽運使,Salt Distribution Commissioner,牧盐舶政類,鹽課鹽運門,都轉運鹽使司
yan yun si pan guan,鹽運司判官,Administrative Assistant in a Salt Distribution Commission,牧盐舶政類,鹽課鹽運門,都轉運鹽使司
yan yun si tong zhi,鹽運司同知,Associate Administrator of a Salt Distribution Commission,牧盐舶政類,鹽課鹽運門,都轉運鹽使司
liang huai yan yun shi,兩淮鹽運使,,牧盐舶政類,鹽課鹽運門,都轉運鹽使司
he dong yan yun shi,河東鹽運使,,牧盐舶政類,鹽課鹽運門,都轉運鹽使司
liang huai yan yun shi fu shi,兩淮鹽運司副使,,牧盐舶政類,鹽課鹽運門,都轉運鹽使司
yan yun si jing li,鹽運司經歷,,牧盐舶政類,鹽課鹽運門,都轉運鹽使司
yan yun si zhi shi,鹽運司知事,,牧盐舶政類,鹽課鹽運門,都轉運鹽使司
yan yun si ku da shi,鹽運司庫大使,,牧盐舶政類,鹽課鹽運門,都轉運鹽使司
yan yun si ku fu shi,鹽運司庫副使,,牧盐舶政類,鹽課鹽運門,都轉運鹽使司
yan yun si yan chang yan ke si da shi,鹽運司鹽場鹽課司大使,,牧盐舶政類,鹽課鹽運門,都轉運鹽使司
yan yun si yan chang yan ke si fu shi,鹽運司鹽場鹽課司副使,,牧盐舶政類,鹽課鹽運門,都轉運鹽使司
yan cang da shi,鹽倉大使,,牧盐舶政類,鹽課鹽運門,都轉運鹽使司
yan camg fu shi,鹽倉副使,,牧盐舶政類,鹽課鹽運門,都轉運鹽使司
yan yun si pi yan suo da shi,鹽運司批驗所大使,,牧盐舶政類,鹽課鹽運門,都轉運鹽使司
yan yun si pi yan suo fu shi,鹽運司批驗所副使,,牧盐舶政類,鹽課鹽運門,都轉運鹽使司
yan ke ti ju si ti ju,鹽課提舉司提舉,Supervisor of a Salt Tax Office,牧盐舶政類,鹽課鹽運門,鹽課提舉司
yan ke ti ju si fu ti ju,鹽課提舉司副提舉,Vice supervisor of a Salt Tax Office,牧盐舶政類,鹽課鹽運門,鹽課提舉司
yan ke ti ju si li mu,鹽課提舉司吏目,Clerk of a Salt Tax Office,牧盐舶政類,鹽課鹽運門,鹽課提舉司
yan ke ti ju si ku da shi,鹽課提舉司庫大使,,牧盐舶政類,鹽課鹽運門,鹽課提舉司
yan ke ti ju si ku fu shi,鹽課提舉司庫副使,,牧盐舶政類,鹽課鹽運門,鹽課提舉司
yan ke ti ju si yan chang yan ke si da shi,鹽課提舉司鹽場鹽課司大使,,牧盐舶政類,鹽課鹽運門,鹽課提舉司
yan ke ti ju siyan chang yan ke si fu shi,鹽課提舉司鹽場鹽課司副使,,牧盐舶政類,鹽課鹽運門,鹽課提舉司
yan ke ti ju si yan jin yan ke si da shi,鹽課提舉司鹽井鹽課司大使,,牧盐舶政類,鹽課鹽運門,鹽課提舉司
yan ke ti ju si yan jin yan ke si fu shi,鹽課提舉司鹽井鹽課司副使,,牧盐舶政類,鹽課鹽運門,鹽課提舉司
